States,x,y
Andhra Pradesh,-98,-137
Arunachal Pradesh,230,114
Assam,224,70
Bihar,72,63
Chhattisgarh,-15,-14
Goa,-228,-124
Gujarat,-297,16
Haryana,-141,140
Himachal Pradesh,-113,188
Jharkhand,54,26
Karnataka,-191,-141
Kerala,-171,-221
Madhya Pradesh,-144,24
Maharashtra,-224,-46
Manipur,281,47
Meghalaya,210,48
Mizoram,261,18
Nagaland,295,78
Odisha,46,-32
Punjab,-156,169
Rajasthan,-243,104
Sikkim,153,101
Tamil Nadu,-117,-207
Telangana,-98,-81
Tripura,228,30
Uttar Pradesh,-57,98
Uttarakhand,-67,154
West Bengal,135,15
Andaman And Nicobar Islands,157,-181
Chandigarh,-123,165
Dadar And Nagar Haveli,-291,-11
Delhi,-118,127
Jammu And Kashmir,-171,222
Ladakh,-98,239
Lakshadweep,-275,-239
Puducherry,-204,-205
Daman And Diu,-241,-27
